Transaction Date,Description,Amount,Type
01/02/2025,NETFLIX.COM,-15.99,Sale
01/03/2025,WHOLE FOODS MARKET,-67.43,Sale
01/04/2025,UBER EATS,-34.21,Sale
01/05/2025,SPOTIFY USA,-9.99,Sale
01/06/2025,SHELL OIL,-52.10,Sale
01/07/2025,CHIPOTLE MEXICAN GRILL,-12.45,Sale
01/08/2025,AMAZON PRIME,-14.99,Sale
01/10/2025,DIRECT DEPOSIT PAYROLL,3200.00,Credit
01/11/2025,ATT WIRELESS,-85.00,Sale
01/12/2025,DOORDASH,-28.67,Sale
01/13/2025,TARGET,-143.22,Sale
01/14/2025,STARBUCKS,-6.75,Sale
01/15/2025,HULU,-17.99,Sale
01/16/2025,WHOLE FOODS MARKET,-89.32,Sale
01/17/2025,UBER,-23.40,Sale
01/18/2025,APPLE.COM/BILL,-9.99,Sale
01/20/2025,CHIPOTLE MEXICAN GRILL,-13.20,Sale
01/21/2025,STARBUCKS,-7.25,Sale
01/22/2025,AMAZON,-67.99,Sale
01/23/2025,PLANET FITNESS,-24.99,Sale
02/01/2025,NETFLIX.COM,-15.99,Sale
02/02/2025,WHOLE FOODS MARKET,-102.45,Sale
02/03/2025,DOORDASH,-41.23,Sale
02/04/2025,SPOTIFY USA,-9.99,Sale
02/05/2025,SHELL OIL,-48.75,Sale
02/06/2025,DIRECT DEPOSIT PAYROLL,3200.00,Credit
02/07/2025,AMAZON PRIME,-14.99,Sale
02/08/2025,UBER EATS,-29.34,Sale
02/10/2025,CHIPOTLE MEXICAN GRILL,-11.80,Sale
02/11/2025,ATT WIRELESS,-85.00,Sale
02/12/2025,HULU,-17.99,Sale
02/13/2025,STARBUCKS,-6.50,Sale
02/14/2025,VALENTINES DINNER NOBU,-287.43,Sale
02/15/2025,APPLE.COM/BILL,-9.99,Sale
02/16/2025,TARGET,-98.67,Sale
02/17/2025,UBER,-31.20,Sale
02/18/2025,PLANET FITNESS,-24.99,Sale
02/20/2025,WHOLE FOODS MARKET,-76.23,Sale
02/21/2025,STARBUCKS,-7.75,Sale
02/22/2025,AMAZON,-234.99,Sale
02/24,2025,DISCORD NITRO,-9.99,Sale
03/01/2025,NETFLIX.COM,-15.99,Sale
03/02/2025,SPOTIFY USA,-9.99,Sale
03/03/2025,WHOLE FOODS MARKET,-91.34,Sale
03/04/2025,DOORDASH,-38.90,Sale
03/05/2025,DIRECT DEPOSIT PAYROLL,3200.00,Credit
03/06/2025,AMAZON PRIME,-14.99,Sale
03/07/2025,SHELL OIL,-61.20,Sale
03/08/2025,ATT
